Date,Variable,Armenia,Japan,South Korea,United Arab Emirates,Asia Cop,Anicca
1985,nuclear_electricity,0,159.58,16.75,0,176.33,20.11521789
1986,nuclear_electricity,0,165.37,28.31,0,193.68,22.09445585
1987,nuclear_electricity,0,188.61,39.31,0,227.92,26.00045631
1988,nuclear_electricity,0,173.9,40.1,0,214,24.41250285
1989,nuclear_electricity,0,185.81,47.37,0,233.18,26.60050194
1990,nuclear_electricity,0,194.57,52.89,0,247.46,28.22952316
1991,nuclear_electricity,0,208.69,56.31,0,265,30.23043577
1992,nuclear_electricity,0,217.04,56.53,0,273.57,31.20807666
1993,nuclear_electricity,0,247.7,58.14,0,305.84,34.8893452
1994,nuclear_electricity,0,258.25,58.65,0,316.9,36.1510381
1995,nuclear_electricity,0,286.89,67.03,0,353.92,40.37417294
1996,nuclear_electricity,0,296.5,73.92,0,370.42,42.25644536
1997,nuclear_electricity,0,321.16,77.09,0,398.25,45.4312115
1998,nuclear_electricity,0,325.97,89.69,0,415.66,47.41729409
1999,nuclear_electricity,0,317.24,103.06,0,420.3,47.94661191
2000,nuclear_electricity,1.84,319.12,103.52,0,424.48,48.42345426
2001,nuclear_electricity,1.99,320.54,106.53,0,429.06,48.94592745
2002,nuclear_electricity,2.09,314.26,113.15,0,429.5,48.99612138
2003,nuclear_electricity,1.82,230.08,123.19,0,355.09,40.50764317
2004,nuclear_electricity,2.2,285.87,124.18,0,412.25,47.02829112
2005,nuclear_electricity,2.5,293.04,137.59,0,433.13,49.41022131
2006,nuclear_electricity,2.42,304.29,141.18,0,447.89,51.09399954
2007,nuclear_electricity,2.35,279.01,136.6,0,417.96,47.67967146
2008,nuclear_electricity,2.27,251.74,144.26,0,398.27,45.43349304
2009,nuclear_electricity,2.29,274.65,141.12,0,418.06,47.69107917
2010,nuclear_electricity,2.29,292.35,141.89,0,436.53,49.7980835
2011,nuclear_electricity,2.36,162.93,147.76,0,313.05,35.7118412
2012,nuclear_electricity,2.12,17.99,143.55,0,163.66,18.66986083
2013,nuclear_electricity,2.17,14.6,132.46,0,149.23,17.02372804
2014,nuclear_electricity,2.27,0,149.17,0,151.44,17.27583847
2015,nuclear_electricity,2.57,4.52,157.16,0,164.25,18.73716632
2016,nuclear_electricity,2.19,17.68,154.2,0,174.07,19.8574036
2017,nuclear_electricity,2.41,29.07,141.28,0,172.76,19.70796258
2018,nuclear_electricity,1.9,49.11,127.08,0,178.09,20.31599361
2019,nuclear_electricity,2.03,65.64,138.68,0,206.35,23.53981291
2020,nuclear_electricity,2.55,43,152.58,1.63,199.76,22.78804472
2021,nuclear_electricity,1.85,61.22,150.52,10.55,224.14,25.56924481
2022,nuclear_electricity,2.203631397,51.77,168.58,20.1,242.6536314,27.68122649
2023,nuclear_electricity,2.933268257,42.94860318,176.6986554,25.62632324,248.2068501,28.31472166
2024,nuclear_electricity,3.662905118,80.61308844,187.5702761,26.87130573,298.7175754,34.07683954
2025,nuclear_electricity,4.392541978,118.2775737,198.4418967,29.63077922,350.7427916,40.01172617
2026,nuclear_electricity,5.122178838,155.942059,209.3135174,34.22280853,404.6005638,46.1556655
2027,nuclear_electricity,5.851815699,193.6065442,220.185138,38.68712611,458.330624,52.28503582
2028,nuclear_electricity,6.581452559,231.2710295,231.0567587,42.02091302,510.9301538,58.28543849
2029,nuclear_electricity,7.311089419,268.9355147,241.9283793,44.95927818,563.1342616,64.24073256
2030,nuclear_electricity,8.040726279,306.6,252.8,48.39772783,615.8384541,70.25307485
2031,nuclear_electricity,8.77036314,337.26,256.8333333,52.27677566,655.1404721,74.73653572
2032,nuclear_electricity,9.5,367.92,260.8666667,56.04518674,694.3318534,79.20737547
2033,nuclear_electricity,10.52222222,398.58,264.9,59.5085205,733.5107427,83.67679018
2034,nuclear_electricity,11.54444444,429.24,268.9333333,62.90993156,772.6277093,88.13914092
2035,nuclear_electricity,12.56666667,459.9,272.9666667,66.46492989,811.8982633,92.61901247
2036,nuclear_electricity,13.58888889,490.56,277,70.12025327,851.2691422,97.11032879
2037,nuclear_electricity,14.61111111,521.22,293.3385714,73.72703437,902.8967169,102.9998536
2038,nuclear_electricity,15.63333333,551.88,309.6771429,77.2546309,954.4451071,108.8803453
2039,nuclear_electricity,16.65555556,582.54,326.0157143,80.77781092,1005.989081,114.7603332
2040,nuclear_electricity,17.67777778,613.2,342.3542857,84.34570632,1057.57777,120.6454221
2041,nuclear_electricity,18.7,643.86,358.6928571,87.93480792,1109.187665,126.5329301
2042,nuclear_electricity,19.72222222,674.52,375.0314286,91.50644647,1160.780097,132.4184459
2043,nuclear_electricity,20.74444444,705.18,391.37,95.05834987,1212.352794,138.3017105
2044,nuclear_electricity,21.76666667,735.84,407.7085714,98.61230662,1263.927545,144.1852093
2045,nuclear_electricity,22.78888889,766.5,424.0471429,102.1787204,1315.514752,150.0701291
2046,nuclear_electricity,23.81111111,797.16,440.3857143,105.7491114,1367.105937,155.9555027
2047,nuclear_electricity,24.83333333,827.82,456.7242857,109.313834,1418.691453,161.8402296
2048,nuclear_electricity,25.85555556,858.48,473.0628571,112.8738593,1470.272272,167.7244207
2049,nuclear_electricity,26.87777778,889.14,489.4014286,116.4352622,1521.854469,173.608769
2050,nuclear_electricity,27.9,919.8,505.74,120,1573.44,179.4934976
2051,nuclear_electricity,28.92222222,950.46,522.0785714,123.5653158,1625.026109,185.3782922
2052,nuclear_electricity,29.94444444,981.12,538.4171429,127.1289116,1676.610499,191.2628906
2053,nuclear_electricity,30.96666667,1011.78,554.7557143,130.6914517,1728.193833,197.1473686
2054,nuclear_electricity,31.98888889,1042.44,571.0942857,134.2545636,1779.777738,203.0319117
2055,nuclear_electricity,33.01111111,1073.1,587.4328571,137.8185342,1831.362502,208.9165528
2056,nuclear_electricity,34.03333333,1103.76,603.7714286,141.382526,1882.947288,214.8011964
2057,nuclear_electricity,35.05555556,1134.42,620.11,144.9460217,1934.531577,220.6857834
2058,nuclear_electricity,36.07777778,1165.08,636.4485714,148.5092986,1986.115648,226.5703454
2059,nuclear_electricity,37.1,1195.74,652.7871429,152.072776,2037.699919,232.4549303
2060,nuclear_electricity,38.12222222,1226.4,669.1257143,155.6364656,2089.284402,238.3395394
2061,nuclear_electricity,39.14444444,1257.06,685.4642857,159.2001255,2140.868856,244.2241451
2062,nuclear_electricity,40.16666667,1287.72,701.8028571,162.7636484,2192.453172,250.1087351
2063,nuclear_electricity,41.18888889,1318.38,718.1414286,166.3271316,2244.037449,255.9933207
2064,nuclear_electricity,42.21111111,1349.04,734.48,169.890679,2295.62179,261.8779135
2065,nuclear_electricity,43.23333333,1379.7,750.8185714,173.4542763,2347.206181,267.7625121
2066,nuclear_electricity,44.25555556,1410.36,767.1571429,177.0178567,2398.790555,273.6471087
2067,nuclear_electricity,45.27777778,1441.02,783.4957143,180.5814007,2450.374893,279.5317012
2068,nuclear_electricity,46.3,1471.68,799.8342857,184.1449395,2501.959225,285.4162931
2069,nuclear_electricity,47.32222222,1502.34,816.1728571,187.7084976,2553.543577,291.3008872
2070,nuclear_electricity,48.34444444,1533,832.5114286,191.2720667,2605.12794,297.1854825
