Date,Variable,Armenia,Japan,South Korea,United Arab Emirates,Asia Cop,Anicca
2071,nuclear_electricity,49.36666667,1563.66,848.85,194.8356291,2656.712296,303.0700771
2072,nuclear_electricity,50.38888889,1594.32,865.1885714,198.3991822,2708.296642,308.9546705
2073,nuclear_electricity,51.41111111,1624.98,881.5271429,201.9627353,2759.880989,314.8392641
2074,nuclear_electricity,52.43333333,1655.64,897.8657143,205.526294,2811.465342,320.7238583
2075,nuclear_electricity,53.45555556,1686.3,914.2042857,209.0898549,2863.049696,326.6084527
2076,nuclear_electricity,54.47777778,1716.96,930.5428571,212.6534136,2914.634048,332.4930468
2077,nuclear_electricity,55.5,1747.62,946.8814286,216.2169699,2966.218399,338.3776408
2078,nuclear_electricity,56.52222222,1778.28,963.22,219.7805266,3017.802749,344.2622347
2079,nuclear_electricity,57.54444444,1808.94,979.5585714,223.3440849,3069.387101,350.1468288
2080,nuclear_electricity,58.56666667,1839.6,995.8971429,226.9076435,3120.971453,356.0314229
2081,nuclear_electricity,59.58888889,1870.26,1012.235714,230.4712015,3172.555804,361.9160169
2082,nuclear_electricity,60.61111111,1900.92,1028.574286,234.0347588,3224.140156,367.800611
2083,nuclear_electricity,61.63333333,1931.58,1044.912857,237.5983164,3275.724507,373.685205
2084,nuclear_electricity,62.65555556,1962.24,1061.251429,241.1618744,3327.308859,379.5697991
2085,nuclear_electricity,63.67777778,1992.9,1077.59,244.7254325,3378.89321,385.4543931
2086,nuclear_electricity,64.7,2023.56,1093.928571,248.2889903,3430.477561,391.3389871
2087,nuclear_electricity,65.72222222,2054.22,1110.267143,251.852548,3482.061913,397.2235812
2088,nuclear_electricity,66.74444444,2084.88,1126.605714,255.4161058,3533.646264,403.1081752
2089,nuclear_electricity,67.76666667,2115.54,1142.944286,258.9796637,3585.230616,408.9927693
2090,nuclear_electricity,68.78888889,2146.2,1159.282857,262.5432215,3636.814967,414.8773633
2091,nuclear_electricity,69.81111111,2176.86,1175.621429,266.1067794,3688.39932,420.7619576
2092,nuclear_electricity,70.83333333,2207.52,1191.96,269.6703372,3739.983671,426.6465516
2093,nuclear_electricity,71.85555556,2238.18,1208.298571,273.233895,3791.568022,432.5311456
2094,nuclear_electricity,72.87777778,2268.84,1224.637143,276.7974528,3843.152374,438.4157397
2095,nuclear_electricity,73.9,2299.5,1240.975714,280.3610107,3894.736725,444.3003337
2096,nuclear_electricity,74.92222222,2330.16,1257.314286,283.9245685,3946.321077,450.1849278
2097,nuclear_electricity,75.94444444,2360.82,1273.652857,287.4881263,3997.905428,456.0695218
2098,nuclear_electricity,76.96666667,2391.48,1289.991429,291.0516841,4049.48978,461.9541159
2099,nuclear_electricity,77.98888889,2422.14,1306.33,294.615242,4101.074131,467.8387099
2100,nuclear_electricity,79.01111111,2452.8,1322.668571,298.1787998,4152.658482,473.7233039
