Date,Variable,Canada,United States,North America Cop,Anicca
1985,nuclear_electricity,60.52,403.89,464.41,52.9785535
1986,nuclear_electricity,71.27,435.83,507.1,57.84850559
1987,nuclear_electricity,77.26,479.23,556.49,63.48277436
1988,nuclear_electricity,82.87,554.71,637.58,72.7332877
1989,nuclear_electricity,79.32,557.22,636.54,72.6146475
1990,nuclear_electricity,72.46,607.22,679.68,77.53593429
1991,nuclear_electricity,84.34,644.81,729.15,83.17932923
1992,nuclear_electricity,80.02,651.34,731.36,83.43143965
1993,nuclear_electricity,93.28,642.41,735.69,83.92539357
1994,nuclear_electricity,107.08,674.15,781.23,89.12046543
1995,nuclear_electricity,97.16,708.84,806,91.9461556
1996,nuclear_electricity,92.12,710.24,802.36,91.5309149
1997,nuclear_electricity,81.96,661.73,743.69,84.8380105
1998,nuclear_electricity,70.99,709.16,780.15,88.99726215
1999,nuclear_electricity,72.98,766.58,839.56,95.77458362
2000,nuclear_electricity,69.16,753.89,823.05,93.89117043
2001,nuclear_electricity,72.86,768.83,841.69,96.01756788
2002,nuclear_electricity,71.75,780.06,851.81,97.17202829
2003,nuclear_electricity,71.15,763.73,834.88,95.24070272
2004,nuclear_electricity,85.87,788.53,874.4,99.74903034
2005,nuclear_electricity,86.83,781.99,868.82,99.11248004
2006,nuclear_electricity,92.44,787.22,879.66,100.349076
2007,nuclear_electricity,88.19,806.42,894.61,102.0545289
2008,nuclear_electricity,88.3,806.21,894.51,102.0431211
2009,nuclear_electricity,85.13,798.85,883.98,100.8418891
2010,nuclear_electricity,85.53,806.97,892.5,101.8138261
2011,nuclear_electricity,88.29,790.2,878.49,100.2156057
2012,nuclear_electricity,89.49,769.33,858.82,97.97170888
2013,nuclear_electricity,97.58,789.02,886.6,101.1407712
2014,nuclear_electricity,101.21,797.17,898.38,102.4845996
2015,nuclear_electricity,96.05,797.18,893.23,101.8971024
2016,nuclear_electricity,95.69,805.69,901.38,102.8268309
2017,nuclear_electricity,95.57,804.95,900.52,102.7287246
2018,nuclear_electricity,95.03,807.08,902.11,102.9101072
2019,nuclear_electricity,95.47,809.41,904.88,103.2261008
2020,nuclear_electricity,92.65,789.88,882.53,100.6764773
2021,nuclear_electricity,87.36,779.65,867.01,98.90600046
2022,nuclear_electricity,82.28,771.54,853.82,97.40132329
2023,nuclear_electricity,82.29075366,764.1613869,846.4521406,96.56081914
2024,nuclear_electricity,88.38517019,821.6368911,910.0220613,103.8126924
2025,nuclear_electricity,94.47958673,879.1123952,973.5919819,111.0645656
2026,nuclear_electricity,100.5740033,936.5878994,1037.161903,118.3164389
2027,nuclear_electricity,106.6684198,994.0634036,1100.731823,125.568312
2028,nuclear_electricity,112.7628363,1051.538908,1164.301744,132.8201853
2029,nuclear_electricity,118.8572528,1109.014412,1227.871665,140.0720585
2030,nuclear_electricity,124.9516694,1166.489916,1291.441585,147.3239317
2031,nuclear_electricity,131.0460859,1223.96542,1355.011506,154.5758049
2032,nuclear_electricity,137.1405024,1281.440925,1418.581427,161.8276782
2033,nuclear_electricity,143.234919,1338.916429,1482.151348,169.0795514
2034,nuclear_electricity,149.3293355,1396.391933,1545.721269,176.3314247
2035,nuclear_electricity,155.423752,1453.867437,1609.291189,183.5832979
2036,nuclear_electricity,161.5181686,1511.342941,1672.86111,190.8351711
2037,nuclear_electricity,167.6125851,1568.818446,1736.431031,198.0870444
2038,nuclear_electricity,173.7070016,1626.29395,1800.000952,205.3389176
2039,nuclear_electricity,179.8014182,1683.769454,1863.570872,212.5907908
2040,nuclear_electricity,185.8958347,1741.244958,1927.140793,219.842664
2041,nuclear_electricity,191.9902512,1798.720462,1990.710713,227.0945372
2042,nuclear_electricity,198.0846678,1856.195966,2054.280634,234.3464104
2043,nuclear_electricity,204.1790843,1913.671471,2117.850555,241.5982837
2044,nuclear_electricity,210.2735008,1971.146975,2181.420476,248.850157
2045,nuclear_electricity,216.3679173,2028.622479,2244.990396,256.1020301
2046,nuclear_electricity,222.4623339,2086.097983,2308.560317,263.3539034
2047,nuclear_electricity,228.5567504,2143.573487,2372.130237,270.6057765
2048,nuclear_electricity,234.6511669,2201.048992,2435.700159,277.8576499
2049,nuclear_electricity,240.7455835,2258.524496,2499.27008,285.1095232
2050,nuclear_electricity,246.84,2316,2562.84,292.3613963
2051,nuclear_electricity,246.84,2316,2562.84,292.3613963
2052,nuclear_electricity,246.84,2316,2562.84,292.3613963
2053,nuclear_electricity,246.84,2316,2562.84,292.3613963
2054,nuclear_electricity,246.84,2316,2562.84,292.3613963
2055,nuclear_electricity,246.84,2316,2562.84,292.3613963
2056,nuclear_electricity,246.84,2316,2562.84,292.3613963
2057,nuclear_electricity,246.84,2316,2562.84,292.3613963
2058,nuclear_electricity,246.84,2316,2562.84,292.3613963
2059,nuclear_electricity,246.84,2316,2562.84,292.3613963
2060,nuclear_electricity,246.84,2316,2562.84,292.3613963
2061,nuclear_electricity,246.84,2316,2562.84,292.3613963
2062,nuclear_electricity,246.84,2316,2562.84,292.3613963
2063,nuclear_electricity,246.84,2316,2562.84,292.3613963
2064,nuclear_electricity,246.84,2316,2562.84,292.3613963
2065,nuclear_electricity,246.84,2316,2562.84,292.3613963
2066,nuclear_electricity,246.84,2316,2562.84,292.3613963
2067,nuclear_electricity,246.84,2316,2562.84,292.3613963
2068,nuclear_electricity,246.84,2316,2562.84,292.3613963
2069,nuclear_electricity,246.84,2316,2562.84,292.3613963
2070,nuclear_electricity,246.84,2316,2562.84,292.3613963
2071,nuclear_electricity,246.84,2316,2562.84,292.3613963
2072,nuclear_electricity,246.84,2316,2562.84,292.3613963
2073,nuclear_electricity,246.84,2316,2562.84,292.3613963
2074,nuclear_electricity,246.84,2316,2562.84,292.3613963
2075,nuclear_electricity,246.84,2316,2562.84,292.3613963
2076,nuclear_electricity,246.84,2316,2562.84,292.3613963
2077,nuclear_electricity,246.84,2316,2562.84,292.3613963
2078,nuclear_electricity,246.84,2316,2562.84,292.3613963
2079,nuclear_electricity,246.84,2316,2562.84,292.3613963
2080,nuclear_electricity,246.84,2316,2562.84,292.3613963
2081,nuclear_electricity,246.84,2316,2562.84,292.3613963
2082,nuclear_electricity,246.84,2316,2562.84,292.3613963
2083,nuclear_electricity,246.84,2316,2562.84,292.3613963
2084,nuclear_electricity,246.84,2316,2562.84,292.3613963
2085,nuclear_electricity,246.84,2316,2562.84,292.3613963
2086,nuclear_electricity,246.84,2316,2562.84,292.3613963
2087,nuclear_electricity,246.84,2316,2562.84,292.3613963
2088,nuclear_electricity,246.84,2316,2562.84,292.3613963
2089,nuclear_electricity,246.84,2316,2562.84,292.3613963
2090,nuclear_electricity,246.84,2316,2562.84,292.3613963
2091,nuclear_electricity,246.84,2316,2562.84,292.3613963
2092,nuclear_electricity,246.84,2316,2562.84,292.3613963
2093,nuclear_electricity,246.84,2316,2562.84,292.3613963
2094,nuclear_electricity,246.84,2316,2562.84,292.3613963
2095,nuclear_electricity,246.84,2316,2562.84,292.3613963
2096,nuclear_electricity,246.84,2316,2562.84,292.3613963
2097,nuclear_electricity,246.84,2316,2562.84,292.3613963
2098,nuclear_electricity,246.84,2316,2562.84,292.3613963
2099,nuclear_electricity,246.84,2316,2562.84,292.3613963
2100,nuclear_electricity,246.84,2316,2562.84,292.3613963
